t_ms,frame,dt_ms,fps_smooth,boat_x,boat_y,cam_x,cam_y,culling_enabled,radius_tiles,chunks_visible,chunks_loaded_total,chunks_load_started,chunks_load_finished,chunks_unload_started,chunks_unload_finished,load_queue_len,note
34,0,34.9652,0,0,0,0,0,1,25,18,18,18,18,0,0,0,chunk_loads
358,1,100,0,0,0,0,0,1,25,18,18,0,0,0,0,0,
560,15,16.4461,0,0,0,0,0,1,25,18,18,0,0,0,0,0,
760,27,16.6665,0,0,0,0,0,1,25,18,18,0,0,0,0,0,
976,40,16.5923,0,0,0,0,0,1,25,18,18,0,0,0,0,0,
1193,53,16.6632,42.5818,0,0,0,0,1,25,18,18,0,0,0,0,0,
1393,65,16.865,42.5818,0,0,0,0,1,25,18,18,0,0,0,0,0,
1609,78,16.7792,42.5818,0,0,0,0,1,25,18,18,0,0,0,0,0,
1826,91,16.5582,42.5818,0,0,0,0,1,25,18,18,0,0,0,0,0,
2042,104,16.7413,60.0221,0,0,0,0,1,25,18,18,0,0,0,0,0,
2259,117,16.466,60.0221,0,0,0,0,1,25,18,18,0,0,0,0,0,
2475,130,16.7756,60.0221,0,0,0,0,1,25,18,18,0,0,0,0,0,
2692,143,16.6811,60.0221,0,0,0,0,1,25,18,18,0,0,0,0,0,
2908,156,16.7375,60.0221,0,0,0,0,1,25,18,18,0,0,0,0,0,
3124,169,16.7102,60.0385,0,0,0,0,1,25,18,18,0,0,0,0,0,
3325,181,16.808,60.0385,0,0,0,0,1,25,18,18,0,0,0,0,0,
3541,194,16.6747,60.0385,0,0,0,0,1,25,18,18,0,0,0,0,0,
3757,207,16.5126,60.0385,0,0,0,0,1,25,18,18,0,0,0,0,0,
3958,219,17.0423,60.0385,0,0,0,0,1,25,18,18,0,0,0,0,0,
4174,232,16.7151,59.9651,0,0,0,0,1,25,18,18,0,0,0,0,0,
4390,245,16.5735,59.9651,0,0,0,0,1,25,18,18,0,0,0,0,0,
4607,258,16.6288,59.9651,0,0,0,0,1,25,18,18,0,0,0,0,0,
4808,270,18.1486,59.9651,0,0,0,0,1,25,18,18,0,0,0,0,0,
5024,283,16.9884,59.9651,0,0,0,0,1,25,18,18,0,0,0,0,0,
5240,296,16.6567,60.0867,0,0,0,0,1,25,18,18,0,0,0,0,0,
5441,308,16.9262,60.0867,0,0,0,0,1,25,18,18,0,0,0,0,0,
5657,321,16.5293,60.0867,0,0,0,0,1,25,18,18,0,0,0,0,0,
5857,333,16.8896,60.0867,0,0,0,0,1,25,18,18,0,0,0,0,0,
6074,346,16.6141,60.0867,0,0,0,0,1,25,18,18,0,0,0,0,0,
6290,359,16.6871,60.0252,0,0,0,0,1,25,18,18,0,0,0,0,0,
6507,372,16.6646,60.0252,0,0,0,0,1,25,18,18,0,0,0,0,0,
6723,385,16.5917,60.0252,0,0,0,0,1,25,18,18,0,0,0,0,0,
6923,397,16.6906,60.0252,0,0,0,0,1,25,18,18,0,0,0,0,0,
7148,410,24.5638,60.039,0,0,0,0,1,25,18,18,0,0,0,0,0,
7356,423,16.9893,60.039,0,0,0,0,1,25,18,18,0,0,0,0,0,
7556,435,16.5304,60.039,0,0,0,0,1,25,18,18,0,0,0,0,0,
7756,447,16.7744,60.039,0,0,0,0,1,25,18,18,0,0,0,0,0,
7973,460,16.6097,60.039,0,0,0,0,1,25,18,18,0,0,0,0,0,
8188,473,16.6884,60.0196,0,0,0,0,1,25,18,18,0,0,0,0,0,
8389,485,16.6099,60.0196,0,0,0,0,1,25,18,18,0,0,0,0,0,
