t_ms,frame,dt_ms,fps_smooth,boat_x,boat_y,cam_x,cam_y,culling_enabled,radius_tiles,chunks_visible,chunks_loaded_total,chunks_load_started,chunks_load_finished,chunks_unload_started,chunks_unload_finished,load_queue_len,note
0,0,0.12382,0,500,0,500,0,1,25,18,18,18,18,0,0,0,chunk_loads
340,1,100,0,500,0,500,0,1,25,18,18,0,0,0,0,0,
553,23,16.6707,0,500,0,500,0,1,25,18,18,0,0,0,0,0,
753,35,17.1812,0,500,0,500,0,1,25,18,18,0,0,0,0,0,
970,48,16.8569,0,500,0,500,0,1,25,18,18,0,0,0,0,0,
1186,61,16.8122,50.8213,500,0,500,0,1,25,18,18,0,0,0,0,0,
1403,74,16.8087,50.8213,500,0,500,0,1,25,18,18,0,0,0,0,0,
1603,86,16.858,50.8213,500,0,500,0,1,25,18,18,0,0,0,0,0,
1819,99,16.5191,50.8213,500,0,500,0,1,25,18,18,0,0,0,0,0,
2019,111,16.9228,60.0139,500,0,500,0,1,25,18,18,0,0,0,0,0,
2236,124,16.6521,60.0139,500,0,500,0,1,25,18,18,0,0,0,0,0,
2436,136,16.9413,60.0139,500,0,500,0,1,25,18,18,0,0,0,0,0,
2652,149,16.6802,60.0139,500,0,500,0,1,25,18,18,0,0,0,0,0,
2852,161,16.7205,60.0139,500,0,500,0,1,25,18,18,0,0,0,0,0,
3052,173,16.9574,60.0502,500,0,500,0,1,25,18,18,0,0,0,0,0,
3269,186,16.6645,60.0502,500,0,500,0,1,25,18,18,0,0,0,0,0,
3485,199,16.6641,60.0502,500,0,500,0,1,25,18,18,0,0,0,0,0,
3702,212,16.5228,60.0502,500,0,500,0,1,25,18,18,0,0,0,0,0,
3902,224,16.6581,60.0502,500,0,500,0,1,25,18,18,0,0,0,0,0,
4117,237,16.0842,60.0265,500,0,500,0,1,25,18,18,0,0,0,0,0,
4318,249,16.3825,60.0265,500,0,500,0,1,25,18,18,0,0,0,0,0,
4534,262,16.7276,60.0265,500,0,500,0,1,25,18,18,0,0,0,0,0,
4735,274,16.6677,60.0265,500,0,500,0,1,25,18,18,0,0,0,0,0,
4951,287,16.5488,60.0265,500,0,500,0,1,25,18,18,0,0,0,0,0,
5168,300,17.176,60.0172,500,0,500,0,1,25,18,18,0,0,0,0,0,
5384,313,16.7439,60.0172,500,0,500,0,1,25,18,18,0,0,0,0,0,
5601,326,16.7118,60.0172,500,0,500,0,1,25,18,18,0,0,0,0,0,
5818,339,17.0899,60.0172,500,0,500,0,1,25,18,18,0,0,0,0,0,
6034,352,16.8476,60.0172,500,0,500,0,1,25,18,18,0,0,0,0,0,
6251,365,16.9988,60.0274,500,0,500,0,1,25,18,18,0,0,0,0,0,
6467,378,16.6464,60.0274,500,0,500,0,1,25,18,18,0,0,0,0,0,
6683,391,16.5601,60.0274,500,0,500,0,1,25,18,18,0,0,0,0,0,
6884,403,16.452,60.0274,500,0,500,0,1,25,18,18,0,0,0,0,0,
7100,416,17.0074,60.0182,500,0,500,0,1,25,18,18,0,0,0,0,0,
7317,429,16.636,60.0182,500,0,500,0,1,25,18,18,0,0,0,0,0,
7533,442,16.7816,60.0182,500,0,500,0,1,25,18,18,0,0,0,0,0,
7750,455,16.3815,60.0182,500,0,500,0,1,25,18,18,0,0,0,0,0,
7950,467,16.8718,60.0182,500,0,500,0,1,25,18,18,0,0,0,0,0,
8157,479,24.4598,60.0482,500,0,500,0,1,25,18,18,0,0,0,0,0,
8366,492,16.4912,60.0482,500,0,500,0,1,25,18,18,0,0,0,0,0,
8583,505,16.8039,60.0482,500,0,500,0,1,25,18,18,0,0,0,0,0,
8783,517,16.6735,60.0482,500,0,500,0,1,25,18,18,0,0,0,0,0,
9000,530,17.0288,60.0482,500,0,500,0,1,25,18,18,0,0,0,0,0,
9215,543,16.5602,60.0239,500,0,500,0,1,25,18,18,0,0,0,0,0,
9416,555,16.7286,60.0239,500,0,500,0,1,25,18,18,0,0,0,0,0,
9632,568,16.6224,60.0239,500,0,500,0,1,25,18,18,0,0,0,0,0,
9832,580,16.6675,60.0239,500,0,500,0,1,25,18,18,0,0,0,0,0,
10049,593,16.5199,60.0239,500,0,500,0,1,25,18,18,0,0,0,0,0,
10265,606,16.5721,60.033,500,0,500,0,1,25,18,18,0,0,0,0,0,
10482,619,16.6314,60.033,500,-9.93105,500,0,1,25,18,18,0,0,0,0,0,
10682,631,16.5961,60.033,500,-49.9313,500,-2.42512,1,25,18,24,6,6,0,0,0,chunk_loads
10682,631,16.5961,60.033,500,-49.9313,500,-2.42512,1,25,18,24,6,6,0,0,0,
10898,639,17.2473,60.033,500,-86.8479,500,-33.4513,1,25,18,24,0,0,0,0,0,
11098,651,16.9146,60.033,500,-96.8318,500,-49.4951,1,25,18,24,0,0,0,0,0,
11315,664,16.8911,55.0958,500,-96.8318,500,-49.4951,1,25,18,24,0,0,0,0,0,
11531,677,16.7081,55.0958,500,-96.8318,500,-49.4951,1,25,18,24,0,0,0,0,0,
11748,690,17.3276,55.0958,500,-96.8318,500,-49.4951,1,25,18,24,0,0,0,0,0,
11949,702,17.1337,55.0958,500,-96.8318,500,-49.4951,1,25,18,24,0,0,0,0,0,
12165,715,17.1183,55.0958,500,-96.8318,500,-49.4951,1,25,18,24,0,0,0,0,0,
12381,728,16.7934,60.0196,500,-96.8318,500,-49.4951,1,25,18,24,0,0,0,0,0,
12597,741,16.5064,60.0196,500,-96.8318,500,-49.4951,1,25,18,24,0,0,0,0,0,
12797,753,16.3547,60.0196,500,-116.849,500,-64.9278,1,25,18,24,0,0,0,0,0,
13014,766,17.1572,60.0196,500,-136.918,500,-89.263,1,25,18,24,0,0,0,0,0,
13231,779,17.5127,60.0563,500,-136.918,500,-89.263,1,25,18,24,0,0,0,0,0,
13447,792,16.7535,60.0563,500,-136.918,500,-89.263,1,25,18,24,0,0,0,0,0,
13647,804,16.8464,60.0563,500,-136.918,500,-89.263,1,25,18,24,0,0,0,0,0,
13847,816,17.0684,60.0563,500,-136.918,500,-89.263,1,25,18,24,0,0,0,0,0,
14064,829,16.7479,60.0563,500,-136.918,500,-89.263,1,25,18,24,0,0,0,0,0,
14280,842,16.589,59.992,500,-136.918,500,-89.263,1,25,18,24,0,0,0,0,0,
14480,854,16.576,59.992,500,-136.918,500,-89.263,1,25,18,24,0,0,0,0,0,
14697,867,16.7149,59.992,500,-153.503,500,-102.023,1,25,18,24,0,0,0,0,0,
14897,879,17.0518,59.992,500,-193.562,500,-135.971,1,25,18,24,0,0,0,0,0,
15113,892,16.6683,59.992,500,-236.849,500,-175.712,1,25,18,24,0,0,0,0,0,
15329,905,16.5308,60.011,500,-280.041,500,-217.092,1,25,18,24,0,0,0,0,0,
15529,917,16.4995,60.011,500,-320.073,500,-256.192,1,25,18,24,0,0,0,0,0,
15746,930,16.8588,60.011,500,-340.085,500,-292.462,1,25,18,24,0,0,0,0,0,
15946,942,16.9094,60.011,500,-340.085,500,-292.462,1,25,18,24,0,0,0,0,0,
16163,955,17.107,60.011,500,-340.085,500,-292.462,1,25,18,24,0,0,0,0,0,
16379,968,17.0218,60.0407,500,-340.085,500,-292.462,1,25,18,24,0,0,0,0,0,
16579,980,17.0401,60.0407,500,-340.085,500,-292.462,1,25,18,24,0,0,0,0,0,
16795,993,16.7503,60.0407,500,-340.085,500,-292.462,1,25,18,24,0,0,0,0,0,
16996,1005,16.2918,60.0407,500,-340.085,500,-292.462,1,25,18,24,0,0,0,0,0,
17213,1018,17.1969,60.0407,500,-360.072,500,-307.944,1,25,18,24,0,0,0,0,0,
17428,1031,16.9661,60.0459,500,-403.193,500,-344.972,1,25,18,24,0,0,0,0,0,
17628,1043,16.6046,60.0459,500,-443.239,500,-381.951,1,25,18,24,0,0,0,0,0,
17829,1055,16.8774,60.0459,500,-483.303,500,-420.334,1,25,18,24,0,0,0,0,0,
18045,1068,16.5286,60.0459,500,-486.653,500,-439.91,1,25,18,24,0,0,0,0,0,
18245,1080,16.5463,60.0459,500,-506.673,500,-455.191,1,25,18,24,0,0,0,0,0,
18461,1093,16.7177,60.0048,500,-536.65,500,-490.463,1,25,18,24,0,0,0,0,0,
18678,1106,16.6474,60.0048,500,-539.979,500,-492.875,1,25,18,24,0,0,0,0,0,
18878,1118,16.4489,60.0048,500,-580.043,500,-524.85,1,25,18,24,0,0,0,0,0,
19095,1131,16.9033,60.0048,500,-623.399,500,-563.512,1,25,18,24,0,0,0,0,0,
19295,1143,16.9474,60.0428,500,-660.037,500,-601.059,1,25,18,24,0,0,0,0,0,
19510,1156,16.0481,60.0428,500,-660.037,500,-613.985,1,25,18,24,0,0,0,0,0,
19711,1168,16.8894,60.0428,500,-660.037,500,-613.985,1,25,18,24,0,0,0,0,0,
19911,1180,16.6174,60.0428,500,-680.095,500,-629.117,1,25,18,24,0,0,0,0,0,
20127,1193,16.2405,60.0428,500,-723.321,500,-665.645,1,25,18,24,0,0,0,0,0,
20340,1205,28.8947,60.0264,500,-765.892,500,-704.855,1,25,18,24,0,0,0,0,0,
20544,1218,16.5604,60.0264,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
20744,1230,16.7881,60.0264,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
20944,1242,16.8977,60.0264,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
21160,1255,16.6571,60.0264,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
21376,1268,16.594,59.4198,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
21576,1280,16.5932,59.4198,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
21777,1292,16.2306,59.4198,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
21995,1305,18.335,59.4198,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
22210,1318,16.3981,59.4198,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
22416,1330,23.2632,60.6692,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
22625,1343,16.2059,60.6692,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
22826,1355,16.5891,60.6692,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
23032,1367,23.0448,60.6692,500,-786.495,500,-740.553,1,25,18,24,0,0,0,0,0,
0,0,0.042521,0,500,0,500,0,1,25,18,18,18,18,0,0,0,chunk_loads
228,1,100,0,500,0,500,0,1,25,18,18,0,0,0,0,0,
430,15,16.1827,0,500,0,500,0,1,25,18,18,0,0,0,0,0,
631,27,17.2657,0,500,0,500,0,1,25,18,18,0,0,0,0,0,
847,40,16.6245,0,500,0,500,0,1,25,18,18,0,0,0,0,0,
1059,52,28.0562,50.2771,500,0,500,0,1,25,18,18,0,0,0,0,0,
1264,65,16.6074,50.2771,500,0,500,0,1,25,18,18,0,0,0,0,0,
1480,78,16.7126,50.2771,500,0,500,0,1,25,18,18,0,0,0,0,0,
1680,90,16.5532,50.2771,500,0,500,0,1,25,18,18,0,0,0,0,0,
1897,103,16.7258,50.2771,500,0,500,0,1,25,18,18,0,0,0,0,0,
2113,116,17.3813,60.0235,500,0,500,0,1,25,18,18,0,0,0,0,0,
2313,128,16.1459,60.0235,500,0,500,0,1,25,18,18,0,0,0,0,0,
2530,141,16.7141,60.0235,500,0,500,0,1,25,18,18,0,0,0,0,0,
2746,154,16.6447,60.0235,500,0,500,0,1,25,18,18,0,0,0,0,0,
2946,166,16.7083,60.0235,500,0,500,0,1,25,18,18,0,0,0,0,0,
3162,179,16.855,60.0293,500,0,500,0,1,25,18,18,0,0,0,0,0,
3363,191,16.5806,60.0293,500,0,500,0,1,25,18,18,0,0,0,0,0,
3579,204,16.5731,60.0293,500,0,500,0,1,25,18,18,0,0,0,0,0,
3796,217,16.6019,60.0293,500,0,500,0,1,25,18,18,0,0,0,0,0,
4012,230,16.6263,60.0293,500,0,500,0,1,25,18,18,0,0,0,0,0,
4213,242,16.9007,60.0263,500,0,500,0,1,25,18,18,0,0,0,0,0,
4429,255,16.7556,60.0263,500,0,500,0,1,25,18,18,0,0,0,0,0,
4645,268,16.6906,60.0263,500,0,500,0,1,25,18,18,0,0,0,0,0,
4845,280,16.6716,60.0263,500,0,500,0,1,25,18,18,0,0,0,0,0,
5062,293,16.6319,60.0263,500,0,500,0,1,25,18,18,0,0,0,0,0,
5279,306,16.7982,60.0334,500,0,500,0,1,25,18,18,0,0,0,0,0,
5495,319,16.6253,60.0334,500,0,500,0,1,25,18,18,0,0,0,0,0,
5695,331,16.6257,60.0334,500,0,500,0,1,25,18,18,0,0,0,0,0,
5912,344,16.6196,60.0334,500,0,500,0,1,25,18,18,0,0,0,0,0,
6112,356,16.7835,60.0256,500,0,500,0,1,25,18,18,0,0,0,0,0,
6328,369,16.7442,60.0256,500,0,500,0,1,25,18,18,0,0,0,0,0,
6544,382,16.4412,60.0256,500,0,500,0,1,25,18,18,0,0,0,0,0,
6744,394,16.383,60.0256,500,0,500,0,1,25,18,18,0,0,0,0,0,
6961,407,16.722,60.0256,500,0,500,0,1,25,18,18,0,0,0,0,0,
7163,419,5.46989,60.0204,500,0,500,0,1,25,18,18,0,0,0,0,0,
7378,432,16.7118,60.0204,500,10.0017,500,0,1,25,18,18,0,0,0,0,0,
7594,445,16.865,60.0204,500,53.3652,500,4.9824,1,25,18,18,0,0,0,0,0,
7811,458,16.6721,60.0204,500,96.6359,500,40.3126,1,25,18,18,0,0,0,0,0,
8027,471,16.7255,60.0204,500,139.959,500,79.4826,1,25,18,18,0,0,0,0,0,
8244,484,16.8638,60.0398,500,156.639,500,111.134,1,25,18,18,0,0,0,0,0,
8460,497,16.6007,60.0398,476.706,156.639,498.087,115.472,1,25,18,18,0,0,0,0,0,
8660,509,16.8201,60.0398,436.671,156.639,478.54,132.907,1,25,18,18,0,0,0,0,0,
